Blog	fix	address	social	university	talked	comfort	direction	sold	term	kinda	taught	skin	gotta	enter	considered	orange	bill	blame	whose	besides	common	lesson	report	odd	february	effect	presents	slept	uncle	fat	trouble	sell	cost	fantastic	tells	among	restaurant	decision	colors	setting	possibly	unique	bird	article	broke	fully	included	mountain	joined	becoming	crap	tough	various	milk	soft	crowd	riding	similar	headed	miles	knowledge	cheap	remind	reminds	garden	kiss	cd	spread	till	heat	daughter	aware	album	checked	sugar	willing	goal	consider	bags	doctor	built	smiling	scene	product	cousin	performance	animal	island	shoot	losing	gifts	advice	match	heads	related	pages	grade	pants	master	eve	swimming	yours	agree	jesus	clearly	picking	language	students	national	crying	interview	fans	ladies	holidays	release	opinion	tickets	wet	lie	north	blogger	attend	vacation	failed	allow	media	halloween	digital	videos	paint	breaking	health	challenge	issue	teeth	mixed	expected	via	checking	suddenly	harder	ending	bringing	dogs	battle	inspired	seat	joke	flight	sight	official	birds	answers	neither	runs	east	artist	stone	account	projects	shut	remembered	classes	edge	festival	sets	friendly	hide	seven	magazine	career	weight	thus	episode	describe	quote	everybody	hadn	net	pizza	feelings	fellow	degrees	happiness	jack	plenty	schedule	plays	french	desk	otherwise	anniversary	success	sand	mid	begins	storm	blogs	community	path	camp	player	credit	tall	cheese	midnight	river	education	van	jobs	circle	pure	pack	powerful	balance	shots	response	available	handle	vs	boxes	lake	sees	personally	prepared	barely	training	receive	cleaning	giant	google	drinks	golden	hat	chair	research	ordered	police	finger	adventure	babies	parties	ah	sex	impossible	packed	distance	normally	feed	tune	rolling	sale	paul	terrible	becomes	calm	goodness	position	honor	musical	forgotten	hits	likely	ears	numbers	ability	wanna	press	led	boss	fighting	tight	listened	noise	tom	states	student	private	society	james	force	disappointed	text	bathroom	hearts	arm	exact	traffic	reached	sometime	guilty	rare	vote	forth	minor	em	killed	member	shower	constantly	rocks	ain	reminded	loose	confused	typical	movement	progress	plastic	review	blow	jam	jeans	grew	culture	library	pics	science	dust	beer	model	decent	san	lessons	officially	directly	selling	damn	folks	butter	staff	aside	topic	shake	signed	false	easter	fourth	cash	deserve	leading	higher	copy	birth	surgery	candy	ups	eight	paying	suit	obvious	salt	professional	youtube	mary	attended	driver	york	cooking	provide	worried	laid	valentine	couch	sisters	lets	blast	indeed	classic	shit	cancer	delicious	value	pro	mission	items	excuse	proper	toy	released	creating	piano	rough	waste	inspiration	bread	lyrics	cell	evil	lord	pulling	considering	holds	yard	faster	lying	sports	kinds	adventures	santa	download	design	painted	doors	angry	meal	visited	prefer	walks	attitude	animals	puts	rule	wore	suppose	option	windows	therefore	role	vision	clock	despite	compared	traditional	degree	avoid	faith	correct	recommend	pleasure	studio	cried	raise	solid	drama	grateful	hungry	activities	plane	target	covers	entry	accident	younger	trips	sang	awake	aunt	concept	gain	waited	bank	somebody	impressed	swing	drunk	sides	celebration	families	fool	juice	attack	walls	serve	overall	pet	curious	appear	experienced	print	hung	ipod	tag	continues	saved	nap	threw	precious	ignore	task	shirts	saving	web	adorable	ticket	tend	necessary	angel	dates	stood	falls	drawing	highly	freedom	modern	stress	bowl	q	finds	stomach
The Being above the Universe	1	1	4	71	8	0	4	1	9	1	2	0	5	1	0	2	1	3	2	7	2	7	1	4	4	0	0	5	0	6	6	1	3	0	3	1	2	7	0	2	1	0	0	3	0	4	0	2	0	7	0	9	0	0	0	1	1	7	5	0	0	1	0	0	0	0	0	3	21	0	1	23	0	1	2	4	7	7	1	15	2	72	4	0	4	0	0	0	1	2	1	2	2	0	2	2	2	0	3	1	1	2	1	14	0	1	4	21	1	0	1	1	3	11	1	4	0	1	0	2	3	6	0	5	0	0	0	0	4	0	1	4	10	1	0	2	5	0	1	1	5	6	2	2	2	3	6	2	2	2	4	2	5	0	2	1	0	1	2	0	1	1	0	1	0	1	5	1	6	0	6	4	2	3	2	5	1	0	2	0	11	3	4	4	1	0	2	3	0	0	0	0	2	5	12	0	1	15	10	1	11	4	8	2	4	0	0	1	0	2	0	3	1	0	0	0	2	1	4	0	2	0	4	5	2	1	6	6	5	0	0	0	3	2	2	2	0	0	2	2	0	1	0	1	1	2	7	1	2	0	0	9	0	10	6	3	0	2	0	1	2	0	4	2	0	6	8	0	0	2	4	0	1	0	0	5	17	0	1	1	0	6	0	0	0	0	1	2	5	0	1	0	1	1	2	0	0	4	1	6	3	0	0	0	2	1	1	4	0	1	0	1	0	0	2	4	0	3	1	1	11	1	2	2	13	0	0	1	1	2	6	2	15	0	2	1	0	0	0	2	1	9	2	0	0	1	0	6	1	3	2	0	3	1	3	7	5	2	1	3	6	3	0	4	2	10	3	0	1	0	1	0	0	2	8	4	1	4	0	0	5	0	1	4	2	1	0	0	1	4	0	0	0	0	0	1	1	2	1	0	0	0	0	0	4	1	0	0	2	4	0	1	1	0	7	3	1	2	4	7	4	0	3	0	14	0	4	3	3	0	2	0	5	0	1	8	2	8	0	1	0	7	3	4	1	0	2	0	1	2	0	0	1	2	1	0	2	0	2	0	0	1	0	0	3	0	1	3	5	1	0	0	1	3	2	2	1	5	0	3	0	2	1	1	0	4	3	0	2	0	1	0	0	5	1	21	1	0	0	2
Safar	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	3	0	0	0	1	0	0	1	0	3	2	1	0	0	0	1	0	0	1	0	0	0	1	0	0	2	0	4	0	1	0	0	0	0	1	0	0	0	2	0	1	0	0	0	1	0	0	1	0	2	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	4	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	4	2	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	7	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	1	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	9	0	0	0	0	1	1	0	0	0	0	1	2	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Talkbox	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	3	0	1	0	1	1	0	0	0	0	2	1	0	0	1	0	1	1	0	0	0	1	0	2	0	0	2	0	1	0	0	3	0	0	1	3	0	0	1	0	1	2	0	0	0	1	0	6	1	2	0	0	0	0	0	0	2	0	3	0	1	0	1	0	0	17	0	1	1	0	0	0	0	0	0	0	1	1	0	0	4	0	1	0	0	0	0	1	1	0	0	0	3	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	2	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0	0	1	1	1	3	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	3	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	3	0	0	0	0	1	0	1	0	1	0	2	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	6	0	0	0	0	2	4	0	0	1	0	0	0	0	6	2	0	1	0	0	0	0	0	0	0	0	8	0	1	0	0	0	1	0	0	0	0	3	0	0	2	0	0	4	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	3	0	1	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	3	0	0
[ U K ]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
*It's mY MoM's fAuLt*	2	0	0	0	6	1	1	3	0	2	2	2	2	0	1	3	3	2	2	1	2	0	3	2	1	0	2	16	0	15	2	5	3	5	11	0	2	5	2	0	2	1	2	0	4	2	2	2	1	2	9	1	0	4	4	0	3	0	1	3	1	0	2	2	4	5	0	1	7	0	4	3	0	0	2	2	1	2	2	0	0	4	0	1	1	1	7	1	2	2	5	1	2	2	1	1	4	8	3	0	9	1	2	4	7	1	1	0	0	8	1	0	1	2	0	2	1	7	4	0	4	1	9	3	4	0	2	0	0	5	0	1	2	1	6	1	3	0	1	0	3	3	0	4	0	1	1	0	0	5	1	1	1	3	3	0	0	2	2	0	1	1	1	1	1	1	1	3	2	0	0	1	1	0	1	0	0	2	0	3	4	0	1	8	0	1	2	1	1	2	3	1	1	9	0	1	2	0	1	2	9	0	0	2	5	1	5	0	0	1	1	1	2	3	2	0	0	1	1	2	3	11	2	1	1	6	1	1	2	7	2	2	1	4	2	0	1	1	6	4	23	2	0	11	2	2	2	1	0	0	1	5	0	9	1	2	5	1	1	0	1	0	0	5	3	2	0	0	1	1	3	5	1	2	0	0	1	1	3	1	1	3	0	1	5	2	2	1	0	0	0	1	1	1	0	0	1	1	5	1	3	0	3	4	4	0	2	0	0	3	3	1	4	1	1	0	6	0	1	1	1	2	0	2	1	3	0	23	2	3	0	0	0	0	0	0	4	2	1	0	3	3	1	9	3	8	0	1	1	6	1	2	1	0	1	1	2	0	2	0	8	5	0	6	0	7	0	0	1	2	0	2	4	0	1	1	2	1	0	0	0	0	3	3	1	4	0	0	3	2	1	0	2	8	2	2	0	0	1	7	0	0	0	1	11	2	0	2	0	0	4	2	1	8	1	0	3	0	0	1	0	9	0	2	2	4	6	2	0	0	0	14	1	1	0	3	1	1	2	0	0	0	0	0	0	1	2	0	0	2	3	8	0	5	1	5	2	0	1	3	0	3	1	1	3	0	1	1	2	0	1	0	1	0	1	5	3	0	6	0	0	0	0	2	1	0	0	3	1	2	5	0	0	1	0	1	2	0	3	1
Things I Learn While Living	2	2	6	2	15	2	2	3	0	5	4	2	6	2	2	7	1	0	2	3	4	4	1	1	0	0	3	1	5	0	0	0	1	0	8	9	0	0	1	1	0	4	11	1	1	6	2	23	1	3	0	2	1	1	2	0	0	4	3	1	4	2	4	6	1	0	5	3	0	1	5	7	1	2	2	3	3	0	1	2	4	2	4	0	3	0	1	0	3	1	3	0	2	0	1	2	3	3	2	0	0	6	4	88	7	8	2	0	0	5	0	0	1	1	1	3	0	1	1	1	2	0	0	0	4	0	0	0	1	4	3	0	2	3	2	5	0	2	0	8	4	4	2	0	3	6	7	2	0	1	2	8	5	8	0	0	0	1	2	2	4	2	6	2	0	1	0	5	5	1	1	2	0	2	4	8	2	4	0	2	8	3	0	0	0	1	0	2	0	4	0	0	1	1	5	7	5	7	11	3	0	0	0	1	0	0	0	1	0	0	1	0	0	5	1	0	1	2	0	0	2	0	9	1	3	0	2	9	1	4	2	0	0	0	3	0	0	0	1	3	1	1	8	1	10	6	0	4	2	0	2	0	13	1	2	2	1	0	19	1	1	3	1	9	4	0	3	3	3	0	5	1	2	2	2	0	0	0	0	3	4	0	0	12	6	0	0	1	2	0	1	1	0	0	0	3	0	0	2	9	2	0	4	0	3	0	2	1	1	0	2	0	0	2	3	0	0	3	3	0	0	0	0	1	3	4	0	0	3	3	12	3	1	1	0	0	0	2	0	3	8	2	0	3	0	1	0	3	1	0	2	0	0	0	5	0	0	0	0	5	0	0	0	4	14	2	0	5	0	0	0	0	1	0	3	0	2	0	0	2	1	0	0	1	4	3	5	0	1	50	4	1	2	0	0	2	3	7	2	0	1	2	5	1	0	4	0	0	1	1	1	4	0	0	3	2	2	2	0	4	4	3	0	0	0	0	12	0	0	0	1	7	1	0	2	9	1	1	1	1	1	0	0	4	0	5	6	5	0	3	0	0	3	1	0	0	1	0	1	0	1	0	1	0	0	0	0	0	2	0	4	14	1	3	1	3	1	0	4	0	1	2	1	0	0	3	1	1	2	2	1	0	1	15	0	1	0	0	1	0
The Beat	4	4	1	8	9	1	1	7	1	6	1	0	12	5	2	0	15	1	8	1	6	1	8	2	5	2	4	0	1	5	1	1	2	0	3	7	5	2	0	1	4	5	8	18	3	2	1	2	4	2	0	1	1	2	1	14	6	2	0	2	2	0	1	0	0	1	13	1	0	4	2	0	94	1	0	0	1	3	0	1	1	0	22	4	2	34	1	6	5	1	0	1	3	14	2	3	3	1	1	0	0	2	3	0	2	0	2	8	25	0	118	18	3	4	58	2	28	0	0	11	9	1	0	1	1	26	0	9	16	6	8	4	3	0	1	6	3	3	2	1	3	4	2	1	30	2	0	2	5	0	20	1	2	1	2	14	27	4	4	6	3	1	0	1	73	1	1	1	1	18	9	1	4	18	2	3	1	1	4	1	0	7	0	0	2	0	5	16	1	0	0	12	10	6	4	3	3	1	11	2	6	18	6	3	1	9	0	1	2	1	2	0	0	3	0	5	6	22	2	18	0	0	0	5	1	4	1	3	0	3	1	0	7	0	0	0	1	5	3	2	1	2	0	2	1	1	2	2	0	2	3	12	6	0	1	3	2	0	9	15	0	5	10	0	3	0	3	29	2	1	2	6	2	9	4	1	7	0	1	17	3	0	2	0	0	0	0	0	4	7	2	0	7	1	3	8	3	17	0	2	6	2	1	1	1	1	4	4	1	38	3	11	0	4	17	26	0	0	2	0	6	2	30	0	4	2	2	11	34	2	2	2	5	1	5	0	0	3	7	2	9	0	1	0	3	1	3	2	2	2	5	0	6	10	3	6	0	20	0	2	1	1	5	1	1	0	1	3	18	5	2	0	0	5	7	0	0	6	0	38	3	1	7	0	0	0	10	1	3	1	4	2	0	6	1	3	7	2	5	47	31	1	0	12	0	0	1	1	0	1	0	2	0	1	0	0	0	1	5	2	6	3	1	0	1	2	0	5	0	4	9	0	3	5	2	0	1	0	0	1	2	3	1	2	0	0	1	0	2	0	1	1	1	3	2	1	2	3	1	2	4	4	1	2	0	0	2	4	0	4	3	2	0	2	1	0	0	6	0	0	1	0	17	0	1	1	0	8	13	2	0	0	1	2	6	0	5	33	2	0
MeMorY FrËeZer	1	0	4	36	5	2	1	4	0	77	2	1	17	5	2	6	1	2	2	11	0	1	2	2	0	1	9	13	3	1	2	7	3	0	1	1	20	0	0	2	0	4	4	0	1	4	1	5	2	1	1	1	2	4	6	1	1	0	3	7	1	4	2	10	3	4	1	0	13	1	1	0	4	3	1	0	4	0	2	3	3	0	1	1	0	7	4	14	1	0	1	2	3	1	0	2	1	0	1	0	0	1	0	0	1	1	4	26	5	0	0	0	2	4	4	0	1	6	0	20	0	3	1	6	0	3	0	1	1	5	0	1	2	0	0	3	0	1	0	8	4	0	1	2	0	0	1	3	8	1	0	3	3	2	1	1	0	2	0	2	1	2	1	0	1	0	4	2	1	0	0	0	0	0	3	1	0	1	4	3	0	0	2	1	20	1	1	1	0	2	1	2	1	12	4	0	1	4	1	0	0	7	0	5	8	0	13	0	4	0	1	0	1	7	2	15	0	0	1	0	0	15	0	2	1	0	1	2	1	0	2	5	1	0	2	6	7	2	2	2	0	0	5	1	0	2	3	4	1	5	0	0	2	0	0	2	4	3	0	3	2	0	1	1	1	0	52	1	0	5	0	5	3	1	1	1	8	2	0	5	2	1	1	4	1	2	2	3	25	0	1	1	3	1	0	34	0	0	5	1	3	2	4	0	2	4	1	0	3	1	1	2	1	1	1	9	16	6	3	2	5	1	0	2	0	1	1	0	2	0	0	0	0	0	2	0	0	2	2	0	4	1	0	0	0	0	1	0	0	1	0	1	0	6	0	1	0	0	2	3	1	2	0	0	4	0	0	1	1	1	0	9	1	8	0	1	0	0	4	0	0	5	0	1	1	8	0	0	3	0	0	1	0	0	3	0	3	0	0	3	1	15	2	0	1	3	2	0	0	0	8	0	1	1	0	1	1	0	2	0	5	0	7	1	0	1	0	1	0	0	1	1	0	0	4	1	16	3	4	1	0	2	1	1	0	1	1	3	0	1	3	1	0	1	0	12	3	3	0	5	3	0	1	1	2	0	1	1	0	1	0	0	5	0	0	0	1	1	0	3	0	1	1	0	9	1	0	0	0	3	5	1	1	0	1	12	4	5	0	2
Beautifully Human	2	5	18	6	14	5	8	1	6	9	3	5	10	6	14	1	0	8	0	8	2	1	1	4	3	2	3	5	2	5	4	2	2	4	0	8	10	8	1	6	5	5	1	1	14	4	7	0	5	6	2	4	6	0	4	10	5	7	19	11	3	1	0	2	0	9	4	0	4	3	2	4	6	14	2	6	5	6	4	7	0	2	13	1	12	10	0	2	4	1	5	7	1	3	7	4	3	6	6	3	2	0	6	0	3	3	1	17	2	2	1	7	7	5	6	11	4	0	4	7	6	14	9	3	1	0	0	1	1	2	5	10	3	18	0	1	6	14	11	9	3	6	1	6	1	8	10	2	3	1	4	1	1	7	3	5	6	4	2	2	9	0	16	1	3	6	3	0	5	0	21	11	17	8	3	2	6	15	1	1	13	2	6	2	1	2	5	0	1	7	1	6	3	1	3	8	5	7	16	6	2	4	3	2	3	1	2	17	5	0	7	1	0	2	2	4	3	0	3	0	0	0	2	5	5	6	5	8	2	2	0	8	5	2	7	0	8	8	2	3	2	8	3	9	2	8	6	1	1	2	1	0	2	1	5	1	2	13	0	10	5	0	1	0	2	1	8	2	7	1	1	10	3	1	2	4	9	16	1	6	3	8	5	11	1	2	1	1	4	5	4	2	6	2	6	1	7	9	1	11	0	4	1	3	0	3	2	2	2	9	1	4	2	2	6	0	7	2	1	3	16	5	1	6	3	3	1	26	4	0	1	4	6	2	4	0	2	5	4	1	3	5	3	0	3	1	4	4	5	2	7	0	5	4	1	18	4	2	0	4	4	6	8	1	1	1	7	2	2	0	1	2	3	0	1	6	2	4	3	4	0	20	2	1	2	0	5	1	4	3	2	13	2	10	2	7	6	2	3	1	0	5	1	2	8	4	9	15	3	8	0	0	3	1	10	2	2	3	5	5	3	6	1	1	17	3	3	3	3	4	3	1	3	5	6	1	2	2	1	4	1	6	1	7	2	1	0	14	7	5	7	3	9	8	1	5	2	3	2	3	2	1	6	1	26	2	6	3	12	0	8	1	0	4	1	2	2	0	0	0	0	1	1	0	1	6	1	11	4	5	1	1	5	1	4	3	4	1	3	6
Raising "D" Boys	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	6	4	0	0	1	2	2	0	1	6	1	6	6	22	0	6	0	1	0	6	1	6	2	6	3	2	1	2	0	4	1	3	8	8	0	0	3	0	2	0	1	22	1	12	15	2	1	2	0	1	0	2	3	5	2	3	0	0	1	7	1	4	3	3	7	5	7	1	4	8	4	3	5	4	2	15	2	1	4	1	0	18	5	6	10	21	1	0	11	0	4	1	2	0	6	0	0	1	0	2	1	0	6	0	1	1	2	7	1	1	0	28	2	3	8	1	2	0	0	11	0	3	1	10	1	1	1	3	11	1	0	1	3	4	2	2	2	0	3	3	1	1	2	0	0	2	0	5	0	0	0	0	4	0	2	0	2	0	1	0	3	0	1	2	1	2	0	4	0	1	2	4	2	0	2	0	6	2	0	0	0	3	0	1	1	0	0	2	3	11	0	1	0	0	1	2	0	5	0	0	16	2	1	0	0	7	14	2	1	2	5	17	1	5	0	1	2	2	10	6	1	2	0	2	1	0	7	0	0	1	4	3	1	7	4	0	0	0	6	2	1	1	7	1	2	0	1	2	1	1	0	0	0	1	0	1	2	0	6	4	0	1	2	0	0	0	2	0	8	3	0	0	3	1	1	1	1	1	0	0	0	0	1	6	1	3	0	4	2	0	1	1	0	1	0	3	8	1	0	0	10	25	9	0	4	1	0	4	13	4	1	1	0	1	0	2	0	0	1	2	0	33	0	0	0	5	0	0	0	6	20	2	0	1	2	0	2	3	1	8	2	0	0	0	0	0	2	12	2	1	6	1	0	0	0	3	0	0	3	1	2	3	0	8	1	1	3	1	0	0	4	0	5	0	0	7	3	0	3	5	0	9	5	0	38	6	2	10	3	0	1	14	0	3	0	6	3	2	8	0	0	2	0	0	0	0	1	0	3	8	0	1	0	0	1	0	6	2	1	0	0	4	9	5	2	1	9	4	2	4	7	1	14	1	0	4	0	0	3	2	0	0	1	3	0	6	4	1	2	0	3	1	0	1	3	7	0	3	2	4	21	1	2	1	2	2	0	1	4	0	0	1	1	6	3	2	1	0	0	0	0	0	2	0	0
A Normal Life	2	1	1	5	12	2	0	6	0	7	1	2	2	1	1	0	2	3	2	0	2	1	4	5	0	1	0	1	0	2	0	3	0	0	3	1	0	1	0	0	0	1	3	1	1	1	1	8	0	0	2	2	2	1	2	0	4	1	0	6	2	4	2	1	3	2	9	0	8	0	1	0	7	2	0	0	0	3	0	1	0	4	0	2	1	1	0	0	1	0	0	0	1	1	0	3	0	1	1	0	2	0	0	5	0	0	3	1	4	3	2	1	0	1	1	0	3	3	3	3	0	4	0	0	2	0	1	1	1	0	1	3	0	0	1	1	0	1	1	0	0	1	1	0	0	1	0	0	2	0	1	2	3	2	1	3	0	3	1	0	1	0	5	2	1	0	1	1	1	1	0	0	3	0	1	4	1	0	1	2	3	3	1	2	0	0	0	0	0	1	1	0	1	4	0	1	1	2	1	1	1	3	0	4	2	3	4	1	1	2	0	2	1	3	0	1	2	2	0	1	0	1	0	0	1	0	0	1	4	3	3	1	2	1	4	1	2	4	0	0	0	0	1	2	0	0	1	2	0	2	2	3	6	0	0	1	0	0	2	0	2	2	0	3	1	3	7	0	1	3	2	4	8	0	1	4	6	3	2	1	0	0	0	4	2	0	1	0	0	4	0	3	2	3	3	3	4	3	0	0	1	3	0	1	0	0	0	1	2	0	3	1	0	1	3	4	0	2	1	10	1	0	0	0	0	2	0	17	0	2	2	5	4	0	1	6	0	0	1	0	0	1	4	2	0	0	2	2	1	2	0	0	0	1	0	2	0	0	1	0	3	1	0	0	0	0	1	0	1	13	3	1	1	0	0	1	0	0	0	1	2	0	0	1	2	2	0	3	3	12	0	0	0	2	2	0	2	1	0	0	2	4	0	1	1	2	0	0	1	0	2	2	1	0	9	1	1	0	0	0	0	1	0	0	3	1	6	0	0	1	1	1	0	3	1	0	1	0	0	0	1	3	0	0	1	1	0	0	0	2	1	4	1	0	2	0	0	1	0	1	0	3	2	1	0	0	0	1	0	1	5	4	0	2	1	0	0	0	0	0	1	1	1	0	4	2	2	0	0	2	0	1	1	2	0	0	0	2	1	1
Clark	1	0	0	1	3	0	0	1	0	1	0	2	1	0	0	1	1	0	0	0	0	1	0	0	0	0	3	0	5	1	0	0	0	3	0	0	2	3	2	0	0	0	2	0	1	1	1	3	3	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	1	5	0	0	0	0	1	1	1	0	0	2	1	0	0	8	7	2	1	0	2	0	0	0	0	1	0	0	0	0	1	0	0	1	0	2	1	0	1	0	0	1	0	0	2	1	0	0	3	0	0	0	4	1	0	0	0	0	5	0	1	0	1	1	3	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	2	0	2	1	0	0	1	4	0	1	3	0	0	0	2	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	3	0	1	0	0	2	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	2	0	1	2	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	6	4	2	0	0	2	0	2	0	0	1	0	1	1	1	4	0	0	0	0	1	0	0	0	2	0	1	0	0	0	2	0	3	1	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	1	1	0	1	0	3	0	3	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	3	0	1	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	7	0	0	0	0	1	1	0	1	8	2	0	0	4	1	6	2	1	0	1	1	0	3	0	4	1	2	1	0	0	12	0	1	0	2	8	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	6	0	0	0	0	1	0	1	0	0	0	1	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	2	0	1	2	0	2	0	2	0	0	1	2	0	0	5	1	2	1	0	0	0	1	1	0	1	0	3	0	0	2	1	0	4	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	4	2	0	0	1	2	1	0	1	0	1	0	2	0	0	1	0	1	0	0	0	2	0	0	0
